cell_id,lat,lon,distance_km,G_WSM,G_CMT,G_v04b_total,slab2_covered,slab2_node_count,slab2_regions,slab2_depth_km,slab2_dip_deg,slab2_strike_deg,slab2_uncertainty_km,slab2_strike_coherence,Q_slab,A_slab,G_slab,G_v04c_total,T13_exact_none_%,T18_exact_none_%,T13_ever_none_%,T18_ever_none_%,T13_first_none_%,T18_first_none_%,T13_exact_v03_%,T18_exact_v03_%,T13_ever_v03_%,T18_ever_v03_%,T13_first_v03_%,T18_first_v03_%,T13_exact_v04a_%,T18_exact_v04a_%,T13_ever_v04a_%,T18_ever_v04a_%,T13_first_v04a_%,T18_first_v04a_%,T13_exact_v04b_%,T18_exact_v04b_%,T13_ever_v04b_%,T18_ever_v04b_%,T13_first_v04b_%,T18_first_v04b_%,T13_exact_v04c_%,T18_exact_v04c_%,T13_ever_v04c_%,T18_ever_v04c_%,T13_first_v04c_%,T18_first_v04c_%,DeltaEver_v04c_vs_v04b_T18_pp,DeltaExact_v04c_vs_v04b_T18_pp,Rank_first_v04c_T18,Rank_ever_v04c_T18
42,-52.5,-167.5,11193.569622740279,1.019950791398091,1.0,1.019950791398091,False,0,,,,,,0.0,0.0,0.5,1.0,1.019950791398091,0.01,0.02,0.01,0.04,0.01,0.02,0.01,0.02,0.01,0.04,0.01,0.02,0.01,0.03,0.01,0.05,0.01,0.02,0.01,0.03,0.01,0.05,0.01,0.02,0.01,0.03,0.01,0.05,0.01,0.02,0.0,0.0,818,618
43,-52.5,-162.5,11456.022870819257,1.1569278135841228,1.0,1.1569278135841228,False,0,,,,,,0.0,0.0,0.5,1.0,1.1569278135841228,0.0,0.02,0.0,0.04,0.0,0.02,0.0,0.04,0.0,0.06,0.0,0.03,0.0,0.04,0.0,0.06,0.0,0.03,0.0,0.04,0.0,0.06,0.0,0.03,0.0,0.04,0.0,0.06,0.0,0.03,0.0,0.0,665,472
44,-52.5,-157.5,11731.167068417497,1.1900786066201132,1.0,1.1900786066201132,False,0,,,,,,0.0,0.0,0.5,1.0,1.1900786066201132,0.02,0.08,0.03,0.16,0.03,0.12,0.01,0.07,0.03,0.16,0.03,0.12,0.01,0.07,0.03,0.16,0.03,0.12,0.01,0.07,0.03,0.16,0.03,0.12,0.01,0.07,0.03,0.16,0.03,0.12,0.0,0.0,2,1
45,-52.5,-152.5,12017.81808043312,1.1783984212546912,1.0,1.1783984212546912,False,0,,,,,,0.0,0.0,0.5,1.0,1.1783984212546912,0.0,0.03,0.0,0.04,0.0,0.03,0.0,0.03,0.0,0.04,0.0,0.03,0.0,0.03,0.0,0.04,0.0,0.03,0.0,0.03,0.0,0.04,0.0,0.03,0.0,0.03,0.0,0.04,0.0,0.03,0.0,0.0,665,762
46,-52.5,-147.5,12314.817381510067,1.1699566205311422,1.0,1.1699566205311422,False,0,,,,,,0.0,0.0,0.5,1.0,1.1699566205311422,0.0,0.02,0.0,0.07,0.0,0.07,0.0,0.03,0.0,0.08,0.0,0.08,0.0,0.03,0.0,0.08,0.0,0.08,0.0,0.03,0.0,0.08,0.0,0.08,0.0,0.03,0.0,0.08,0.0,0.08,0.0,0.0,66,221
47,-52.5,-142.5,12621.029432338699,1.1537947461159832,1.0,1.1537947461159832,False,0,,,,,,0.0,0.0,0.5,1.0,1.1537947461159832,0.0,0.06,0.01,0.12,0.01,0.09,0.0,0.06,0.01,0.12,0.01,0.09,0.0,0.06,0.01,0.12,0.01,0.09,0.0,0.06,0.01,0.12,0.01,0.09,0.0,0.06,0.01,0.12,0.01,0.09,0.0,0.0,29,18
48,-52.5,-137.5,12935.335386277215,1.1404564061922862,1.0,1.1404564061922862,False,0,,,,,,0.0,0.0,0.5,1.0,1.1404564061922862,0.0,0.02,0.01,0.08,0.01,0.07,0.0,0.04,0.01,0.08,0.01,0.05,0.0,0.04,0.01,0.08,0.01,0.05,0.0,0.04,0.01,0.08,0.01,0.05,0.0,0.04,0.01,0.08,0.01,0.05,0.0,0.0,366,221
49,-52.5,-132.5,13256.622942474274,1.1214206918394207,1.0,1.1214206918394207,False,0,,,,,,0.0,0.0,0.5,1.0,1.1214206918394207,0.0,0.01,0.0,0.04,0.0,0.04,0.0,0.03,0.0,0.06,0.0,0.05,0.0,0.03,0.0,0.06,0.0,0.05,0.0,0.03,0.0,0.06,0.0,0.05,0.0,0.03,0.0,0.06,0.0,0.05,0.0,0.0,366,472
50,-52.5,-127.5,13583.771871574665,1.0887448774710236,1.0,1.0887448774710236,False,0,,,,,,0.0,0.0,0.5,1.0,1.0887448774710236,0.0,0.02,0.0,0.08,0.0,0.06,0.0,0.02,0.0,0.08,0.0,0.06,0.0,0.02,0.0,0.08,0.0,0.06,0.0,0.02,0.0,0.08,0.0,0.06,0.0,0.02,0.0,0.08,0.0,0.06,0.0,0.0,240,221
51,-52.5,-122.5,13915.634334628701,1.0395628207889314,1.0,1.0395628207889314,False,0,,,,,,0.0,0.0,0.5,1.0,1.0395628207889314,0.0,0.02,0.0,0.04,0.0,0.02,0.0,0.03,0.0,0.05,0.0,0.02,0.0,0.03,0.0,0.05,0.0,0.02,0.0,0.03,0.0,0.05,0.0,0.02,0.0,0.03,0.0,0.05,0.0,0.02,0.0,0.0,818,618
