cell_id,lat,lon,slab2_covered,slab2_node_count,slab2_regions,slab2_depth_km,slab2_dip_deg,slab2_strike_deg,slab2_uncertainty_km,slab2_strike_coherence,Q_slab,A_slab,G_slab
150,-42.5,132.5,False,0,,,,,,0.0,0.0,0.5,1.0
151,-42.5,137.5,False,0,,,,,,0.0,0.0,0.5,1.0
152,-42.5,142.5,False,0,,,,,,0.0,0.0,0.5,1.0
153,-42.5,147.5,False,0,,,,,,0.0,0.0,0.5,1.0
154,-42.5,152.5,False,0,,,,,,0.0,0.0,0.5,1.0
155,-42.5,157.5,False,0,,,,,,0.0,0.0,0.5,1.0
156,-42.5,162.5,False,0,,,,,,0.0,0.0,0.5,1.0
157,-42.5,167.5,True,786,"ker,puy",55.1615883016954,39.15650394049508,36.73847059887401,6.317876761018073,0.9229236070271296,0.5602209204650624,0.719914835892706,1.123200891787735
158,-42.5,172.5,True,4245,ker,75.35871289769361,38.12961918896082,47.9466004212835,7.840153011720506,0.8135482008951817,0.3070135280789152,0.7188623454464063,1.0671937008391275
159,-42.5,177.5,True,2346,ker,13.683030217007273,6.582954596162119,39.54360715526239,4.388284011929384,0.8667057440911671,0.5444391443342967,0.20971365604741146,0.8419567512865214
160,-37.5,-177.5,True,735,ker,8.156693713896672,4.658887643862049,31.11065391906783,7.217201633800712,0.9562041582328875,0.41691803315184517,0.14619652430686828,0.8524929507917328
161,-37.5,-172.5,False,0,,,,,,0.0,0.0,0.5,1.0
162,-37.5,-167.5,False,0,,,,,,0.0,0.0,0.5,1.0
163,-37.5,-162.5,False,0,,,,,,0.0,0.0,0.5,1.0
164,-37.5,-157.5,False,0,,,,,,0.0,0.0,0.5,1.0
165,-37.5,-152.5,False,0,,,,,,0.0,0.0,0.5,1.0
166,-37.5,-147.5,False,0,,,,,,0.0,0.0,0.5,1.0
167,-37.5,-142.5,False,0,,,,,,0.0,0.0,0.5,1.0
168,-37.5,-137.5,False,0,,,,,,0.0,0.0,0.5,1.0
169,-37.5,-132.5,False,0,,,,,,0.0,0.0,0.5,1.0
170,-37.5,-127.5,False,0,,,,,,0.0,0.0,0.5,1.0
171,-37.5,-122.5,False,0,,,,,,0.0,0.0,0.5,1.0
172,-37.5,-117.5,False,0,,,,,,0.0,0.0,0.5,1.0
173,-37.5,-112.5,False,0,,,,,,0.0,0.0,0.5,1.0
174,-37.5,-107.5,False,0,,,,,,0.0,0.0,0.5,1.0
175,-37.5,-102.5,False,0,,,,,,0.0,0.0,0.5,1.0
176,-37.5,-97.5,False,0,,,,,,0.0,0.0,0.5,1.0
177,-37.5,-92.5,False,0,,,,,,0.0,0.0,0.5,1.0
178,-37.5,-87.5,False,0,,,,,,0.0,0.0,0.5,1.0
179,-37.5,-82.5,False,0,,,,,,0.0,0.0,0.5,1.0
180,-37.5,-77.5,True,29,sam,7.017984538243104,4.6553455385668965,3.6601279182059403,5.89487220501069,0.9998139011610319,0.620179109387362,0.15530161727956165,0.7862252639971745
